"Company/Organization","URL","Sponsor Tier","Category","Product Description","DLI/Bilingual Focus","Relevance to PFL/Explore","Strategic Category"
"Summit K12","summitk12.com","Platinum","Ed-Tech Platform","AI-powered ELD platform for emergent bilingual students. 1K+ districts, 5K schools, 1M+ students. Personalized learning paths, assessment, SIS/LMS integration.","HIGH - core EL/bilingual platform","Complementary (assessment/ELD) - potential tech partner","Complementary Product"
"Ellevation Education","ellevationeducation.com","Corporate","Ed-Tech Platform","Unified EL program management platform. Benchmark assessment, instructional strategies, student data for ELD program. Built by former EL teachers.","HIGH - EL program management","Complementary (EL data/management) - potential integration partner","Complementary Product"
"The LEARN Program (LIUNA)","thelearnprogram.com","Corporate","CTE/Vocational","4-year CTE high school curriculum for Construction Craft Laborer trade. Career pathway, apprenticeship readiness.","LOW - trades/CTE focus","Irrelevant to PFL/Explore. Tangentially relevant to Launchpad (career readiness).","Irrelevant"
"Benchmark Education","benchmarkeducation.com","Gold","Bilingual Literacy Publisher","K-12 literacy publisher with strong bilingual focus. English AND Spanish decodables, Benchmark Fonética, supplemental and intervention materials. Evidence-based.","HIGH - bilingual literacy K-12, English + Spanish","DIRECT COMPETITOR for Explore daytime (bilingual K-4 literacy). Potential distribution partner.","Direct Competitor"
"Capturing Kids' Hearts","capturingkidshearts.org","Silver","SEL/School Culture","Social-emotional learning and school culture transformation program for educators. Not curriculum-focused.","LOW","Irrelevant","Irrelevant"
"Empowering Latino Futures","empoweringlatinofutures.org","Silver","Nonprofit/Advocacy","Latino youth empowerment and educational equity nonprofit.","MEDIUM - serves Latino/bilingual communities","Potential nonprofit partner for pilot programs","Complementary Product"
"Learn4Life","learn4life.org","Silver","Alternative Education","Network of tuition-free public schools (charter) serving non-traditional students. Personalized learning.","LOW","Irrelevant","Irrelevant"
"Newsela","newsela.com","Silver","Ed-Tech Platform","Content and assessment platform. 18K+ differentiated nonfiction/fiction texts. 47M+ learners. ~90% of US schools. Multi-subject (ELA, social studies, science).","MEDIUM - differentiated content for ELs","Complementary (content platform). Could be distribution channel.","Potential Distribution Partner"
"National Geographic Learning / Cengage","ngl.cengage.com","Silver","Major Publisher","K-12 and higher ed world language and ELD materials. Major publisher.","HIGH - world language and ELD focus","Potential distribution partner (major publisher with DLI reach)","Potential Distribution Partner"
"New Teacher Center","newteachercenter.org","Silver","Professional Development","Teacher/leader coaching and PD organization. Mentoring, induction, instructional leadership.","LOW - general PD, not content-specific","Irrelevant to curriculum, but PD model is relevant","Complementary Product"
"Renaissance","renaissance.com","Silver","Ed-Tech/Assessment","Assessment and personalized learning platform (Star assessments, Accelerated Reader/Math). Pre-K to 12. Data-driven.","MEDIUM - assessment in multiple languages","Complementary (assessment platform)","Complementary Product"
"SEAL (Sobrato Early Academic Language)","seal.org","Silver","DLI Program Model","Research-based PreK-3 model for academic language development in DLI/bilingual programs. Strategic advisor to CABE. Deep CA presence.","VERY HIGH - PreK-3 bilingual, academic language","DIRECT OVERLAP with Explore daytime target market. Key competitor OR partner.","Direct Competitor"
"Teacher Created Materials (TCM)","teachercreatedmaterials.com","Silver","K-12 Publisher","K-12 curriculum resources in literacy, math, science, STEAM, ELD, special ed. Multiple brands (Shell Education, Free Spirit Publishing).","HIGH - ELD content, bilingual materials","Competitor for K-4 literacy materials. Major supplemental publisher.","Direct Competitor"
"Vista Higher Learning","vistahigherlearning.com","Silver","World Language Publisher","World language, ELD, and literacy publisher. Spanish, French, etc. K-12 and higher ed.","HIGH - Spanish language and DLI materials","Potential distribution partner for Spanish-language materials","Potential Distribution Partner"
"WriteBrain Books","writebrainbooks.com","Silver","Bilingual Literacy Publisher","K-12 writing curriculum for ELA, ELD, and EL acquisition. Dual language immersion focus. Project-based literacy. CCSS, CA ELA/ELD Framework, ELPAC, TEKS aligned.","VERY HIGH - DLI, ELD, bilingual writing curriculum","DIRECT COMPETITOR for Explore (K-4 bilingual literacy). Similar standards alignment approach.","Direct Competitor"
