"Name","Organization","Role","Why They Matter","Lead Type","Priority","Next Step"
"Dr. Laurie Olsen","SEAL (Sobrato Early Academic Language)","Strategic Advisor","SEAL works with 200+ schools in CA on PreK-3 bilingual academic language. She knows every DLI director personally. SEAL model is complementary to Explore - they focus on pedagogy, not curriculum content.","Partnership/Distribution","HIGH","Research SEAL partner districts. Approach Laurie about Explore as curriculum complement to SEAL model."
"Guadalupe Guerrero","SFUSD (San Francisco Unified)","Superintendent (probable)","SFUSD has one of the largest DLI programs in CA. 20+ DLI schools. Major adopter. If presenting at CABE, he's signaling bilingual education priority.","District Decision-Maker","HIGH","Verify current role. Identify SFUSD DLI coordinator for direct outreach."
"Dr. Cristina Alfaro","San Diego State University","AVP International Affairs","SDSU runs teacher credentialing programs for bilingual teachers across southern CA. Deep connections to DLI districts in San Diego County.","Influencer/Connector","MEDIUM","Ask for introductions to DLI coordinators in SD County districts."
"Dr. Kathy Escamilla","CU Boulder","Professor Emerita - Biliteracy","Leading biliteracy researcher. Her Literacy Squared/biliteracy framework is used by many DLI programs. CU Boulder connection relevant for Colorado strategy.","Influencer/Research","MEDIUM","Potential research partner or endorser for Explore. CO tie-in."
"Francisca Sánchez","META/Provocative Practice","CEO & Founder","PD provider to DLI districts across CA. If she trains teachers, she can recommend curriculum. Distribution channel for Explore.","Distribution Channel","MEDIUM","Explore partnership: Explore curriculum + META PD = bundled offering."
"CABE Planning Committee","John Swett USD","Co-Sponsor District","CABE co-sponsor = strong bilingual program commitment. Small district in Contra Costa County.","District","MEDIUM","Research DLI program status. Add to Scout's CA outreach list."
"CABE Planning Committee","Los Banos USD","Co-Sponsor District","Central Valley district. Likely high EL population.","District","MEDIUM","Research DLI/bilingual programs. High EL = high need."
"CABE Planning Committee","Oakland USD","Co-Sponsor District","Large urban district with extensive DLI programs (Spanish, Mandarin, Arabic). Major target.","District Decision-Maker","HIGH","Identify DLI coordinator. Oakland already has DLI infrastructure."
"CABE Planning Committee","Palmdale School District","Co-Sponsor District","Antelope Valley. High EL population. Elementary district.","District","MEDIUM","Research bilingual programs."
"CABE Planning Committee","Salinas City Elementary SD","Co-Sponsor District","High EL population (agriculture region). Elementary = perfect Explore fit.","District Decision-Maker","HIGH","K-4 elementary district with high bilingual need. Ideal Explore pilot."
"CABE Planning Committee","Salinas Union HSD","Co-Sponsor District","High school complement to Salinas City Elementary. Pipeline opportunity.","District","MEDIUM","PFL Academy target for HS. Package deal with Salinas City Elementary."
"CABE Planning Committee","San Francisco USD","Co-Sponsor District","See Guadalupe Guerrero above. 20+ DLI schools.","District Decision-Maker","HIGH","Already noted above."
"CABE Planning Committee","Santa Clara COE","Co-Sponsor District","County Office of Education. Coordinates bilingual programs across Silicon Valley districts.","Regional Decision-Maker","HIGH","COE = gateway to multiple districts. Research their DLI support programs."
